S.No.,Product Name,Pack Type,MRP (Rs.),Pack Size,Image Path
84,Utiquin-TZ,Tablet,109.80,10x4x10,Ultima\Utiquin-TZ 10x4x10 Tablets.webp
85,Ventimox (250mg),Suspension,100.80,60ml,Ultima\Ventimox-250 Dry Syrup 60ml.webp
86,Ventimox (125mg),Suspension,66.15,60ml,Ultima\Ventimox-125 Dry Syrup 60ml.webp
87,Ventimox Plus Kid,Tablet,47.40,20x10,Ultima\Ventimox Plus KID 20x10 Tablets.webp
88,Ventimox Plus LB (Blue/Grey),Capsule,96.37,10x2x10,Ultima\VENTIMOX PLUS LB (Blue-Grey) 10x2x10 Capsule.webp
89,Ventimox Plus LB (Sky Blue/White),Capsule,96.37,10x2x10,Ultima\Ventimox PLUS-LB 10x2x10 Capsule.webp
90,Ventimox-125 DT,Tablet,55.00,20x10,Ultima\Ventimox-125 DT 20x10 Tablets.webp
91,Ventimox-250 (R/W),Capsule,26.25,10x3x10,Ultima\Ventimox-250mg 10x3x10 Capsules (red white).webp
92,Ventimox-250 (Yellow/Grey),Capsule,26.25,10x3x10,Ultima\Ventimox-250mg 10x3x10 Capsules (Yellow Grey).webp
93,Ventimox-250 DT,Tablet,126.56,20x10,Ultima\Ventimox-250 DT 20x10 Tablets.webp
94,Ventimox-500 (Orange/Orange),Capsule,79.17,10x2x10,Ultima\Ventimox-500 10x2x10 Capsules ORANGE.webp
95,Ventimox-500 (Y/Y),Capsule,79.17,10x2x10,Ultima\Ventimox-500 10x2x10 Capsules Yellow.webp
96,Ventimox-CV,Drop,99.82,10ml,Ultima\Ventimox CV 2.2gm 10ml Drops.webp
97,Ventimox-CV 1.2 GM,Injection,152.31,20ml,Ultima\Ventimox 60ml Dry Syrup.webp
98,Ventimox-CV 228.5,Dry Syrup,65.20,30ml,Ultima\Ventimox- CV 228.5 Dry Syrup 30ML.webp
100,Ventimox-CV 228.5,Tablet,195.93,10x1x10,Ultima\Ventimox-CV 228-5 10x1x10 Tablets.webp
101,Ventimox-CV 375,Tablet,218.90,10x1x10,Ultima\Ventimox-CV 375 10x1x6 Tablets.webp
102,Ventimox-CV 457,Dry Syrup,139.68,30ml,Ultima\Ventimox CV 457 Dry Syrup 30ml.webp
103,Ventimox-CV 457,Tablet,337.50,10x1x10,Ultima\Ventimox-CV 457 10x1x10 Tablets.webp
104,Ventimox-CV 625,Tablet,196.77,10x2x10,Ultima\Ventimox-CV 625 10x2x10 Tablets.webp
105,Ventimox-CV 625,Tablet,118.06,20x6,Ultima\Ventimox-CV 625 20x6 Tablets.webp
106,Ventocold,Tablet,54.40,30x10,Ultima\Ventocold 30x10 Tablets.webp
107,Ventocold DM,Dry Syrup,118.53,100ml,Ultima\Ventocold DM Syrup 100ml.webp
108,Ventocold DM Junior,Syrup,66.10,60ml,Ultima\Ventocold DM Junior Syrup 60ml.webp
109,Ventocold RF,Tablet,59.80,6x5x10,Ultima\Ventocold RF 6x5x10 Tablets.webp
110,Ventocort,Injection,140.62,1ml,Ultima\Ventocort 1ml Injection.webp
111,Ventocortil-10,Tablet,12.91,10x5x10,Ultima\Ventocortil 10mg 10x5x10 Tablets.webp
112,Ventocortil-20,Tablet,25.83,20x10,Ultima\Ventocortil 20mg 20x10 Tablets.webp
113,Ventocortil-5,Tablet,7.24,10x5x10,Ultima\Ventocortil 5mg 10x5x10 Tablets.webp
114,Ventolyte ORS,Ors,23.34,21.8gm,Ultima\ORS 50 Sachets.webp
115,Ventoran,Injection,27.94,10x5x1,Ultima\Ventoran 10x5x1 Injection.webp
116,Ventoran-P,Tablet,44.90,30x10,Ultima\Ventoran-P 30x10 Tablets.webp
117,Ventoran-P Clear Pvc,Tablet,44.91,10x2x10,Ultima\Ventoran-P 10x2x10 Tablets White PVC.webp
118,Wormiband Plus,Tablet,22.40,10x10x1,Ultima\Wormiband PLUS 10x10x1 Tablets.webp
118,Wormiband-400,Tablet,8.73,10x10x1,Ultima\Wormiband 400 10x10x1 Tablets.webp
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,,,,,
124,,,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,,,,,
163,,,,,
164,,,,,
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,,,,,
175,,,,,
176,,,,,
177,,,,,
178,,,,,
179,,,,,
180,,,,,
181,,,,,
182,,,,,
183,,,,,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,,
190,,,,,
191,,,,,
192,,,,,
193,,,,,
194,,,,,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,,,,,
201,,,,,
202,,,,,
203,,,,,
204,,,,,
205,,,,,
206,,,,,
207,,,,,
208,,,,,
209,,,,,
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
217,,,,,
218,,,,,
219,,,,,
220,,,,,
221,,,,,
222,,,,,
223,,,,,
224,,,,,
225,,,,,
226,,,,,
227,,,,,
228,,,,,
229,,,,,
230,,,,,
231,,,,,
232,,,,,
233,,,,,
234,,,,,
235,,,,,
236,,,,,
237,,,,,
238,,,,,
239,,,,,
240,,,,,
241,,,,,
242,,,,,
243,,,,,
244,,,,,
245,,,,,
246,,,,,
247,,,,,
248,,,,,
249,,,,,
250,,,,,
251,,,,,
252,,,,,
253,,,,,
254,,,,,
255,,,,,
256,,,,,
257,,,,,
258,,,,,
259,,,,,
260,,,,,
261,,,,,
262,,,,,
263,,,,,
264,,,,,
265,,,,,
266,,,,,
267,,,,,
268,,,,,
269,,,,,
270,,,,,
271,,,,,
272,,,,,
273,,,,,
274,,,,,
275,,,,,
276,,,,,
277,,,,,
278,,,,,
279,,,,,
280,,,,,
281,,,,,
282,,,,,
283,,,,,
284,,,,,
,,,,,
285,,,,,
286,,,,,
287,,,,,
288,,,,,
289,,,,,
290,,,,,
291,,,,,
292,,,,,
293,,,,,
294,,,,,
295,,,,,
296,,,,,
297,,,,,
298,,,,,
300,,,,,
301,,,,,
302,,,,,
303,,,,,
304,,,,,
306,,,,,
307,,,,,
308,,,,,
309,,,,,
310,,,,,
311,,,,,
312,,,,,
313,,,,,
314,,,,,
315,,,,,
316,,,,,
317,,,,,
318,,,,,
319,,,,,
320,,,,,
321,,,,,
322,,,,,
323,,,,,
324,,,,,
325,,,,,
326,,,,,
327,,,,,
328,,,,,
329,,,,,
330,,,,,
331,,,,,
332,,,,,
333,,,,,
334,,,,,
335,,,,,
336,,,,,
337,,,,,
338,,,,,
339,,,,,
340,,,,,
341,,,,,
342,,,,,
343,,,,,
344,,,,,
345,,,,,
346,,,,,
348,,,,,
349,,,,,
350,,,,,
351,,,,,
352,,,,,
353,,,,,
,,,,,
354,,,,,
355,,,,,
356,,,,,
357,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
358,,,,,
359,,,,,
360,,,,,
361,,,,,
362,,,,,
363,,,,,
364,,,,,
365,,,,,
366,,,,,
367,,,,,
368,,,,,
369,,,,,
370,,,,,
371,,,,,
372,,,,,
373,,,,,
374,,,,,
,,,,,
375,,,,,
376,,,,,
377,,,,,
,,,,,
379,,,,,
380,,,,,
381,,,,,
382,,,,,
383,,,,,
385,,,,,
386,,,,,
387,,,,,
389,,,,,
391,,,,,
392,,,,,
393,,,,,
394,,,,,
395,,,,,
396,,,,,
397,,,,,
398,,,,,
399,,,,,
400,,,,,
401,,,,,
402,,,,,
403,,,,,
404,,,,,
405,,,,,
406,,,,,
407,,,,,
408,,,,,
409,,,,,
410,,,,,
411,,,,,
412,,,,,
413,,,,,
414,,,,,
415,,,,,
416,,,,,
417,,,,,
418,,,,,
419,,,,,
420,,,,,
421,,,,,
422,,,,,
423,,,,,
424,,,,,
425,,,,,
426,,,,,
427,,,,,
428,,,,,
429,,,,,
430,,,,,
431,,,,,
432,,,,,
433,,,,,
434,,,,,
435,,,,,
436,,,,,
437,,,,,
