S.No.,Product Name,Pack Type,MRP (Rs.),Pack Size,Image Path
59,Dolosaid-SP,Tablets,115.70,30x10,"Ultima\Dolosaid-SP 30x10 Tablets.webp"""
60,Dolosaid-Spas,Tablets,99.82,20x10,"Ultima\Dolosaid-Spas 20x10 Tablets.webp"""
61,Dolosaid-TP4,Tablets,221.20,10x1x10,"Ultima\Dolosaid-Tp4 10x1x10 Tablets.webp"""
62,Dolovent-DT,Tablets,77.13,10x2x10,"Ultima\Dolovent-Dt 10x2x10 Tablets.webp"""
63,Donacortil-30,Tablets,431.06,10x1x10,"Ultima\Donacortil-30 10x1x10 Tablets.webp"""
64,Donacortil-6,Tablets,123.52,10x1x10,"Ultima\Donacortil-6 30ml Syrup.webp"""
65,Doximycin,Tablets,119.10,20x10,"Ultima\Doximycin 20x10 Tablets.webp"""
66,Duopress-FM,Tablets,79.40,10x10,"Ultima\Duopress-Fm 10x10 Tablets.webp"""
67,Emivent MD,Tablets,73.73,20x10,"Ultima\EmiventM-DT-20x10 Tablets.webp"""
68,Enzovent Plus,Tablets,268.00,10x1x10,"Ultima\Enzovent-Plus 10x1x10 Tablets.webp"""
69,Enzovent,Tablets,247.50,10x1x10,"Ultima\Enzovent 10x1x10 Tablets.webp"""
70,Epilevitra-500,Tablets,139.65,20x10,"Ultima\Epilevitra-500 20x10 Tablets.webp"""
71,Epitira-1000,Tablets,385.60,10x10,"Ultima\Epitira-1000 10x10 Tablets.webp"""
72,Epitira-250,Tablets,67.72,10x10,"Ultima\Epitira-250 10x10 Tablets.webp"""
73,Epitira-750,Tablets,196.77,10x10,"Ultima\Epitira-750 10x10 Tablets.webp"""
74,Feburol-40,Tablets,129.60,10x1x10,"Ultima\Feburol-40 10x1x10 Tablets.webp"""
75,Feburol-80,Tablets,181.50,10x1x10,"Ultima\Feburol-80 10x1x10 Tablets.webp"""
76,Fepasulide P,Tablets,52.18,25x2x10,"Ultima\Fepasulide-P 25x2x10 Tablets.webp"""
77,Ferivent-XT,Tablets,203.00,10x1x10,"Ultima\Ferivent-Xt 150ml Syrup.webp"""
78,Fertivent F,Tablets,311.44,10x10,"Ultima\Fertivent-F 10x1x10 Tablets.webp"""
79,Fertivent M,Tablets,333.68,10x10,"Ultima\Fertivent-M 10x1x10 Tablets.webp"""
80,Flucovent 200,Tablets,18.77,40x1,"Ultima\Flucovent-200 2x1 Tablet 40x2x1.webp"""
81,Flucovent-150,Tablets,12.96,40x2x1,"Ultima\Flucovent-150 40x2x1 Tablets.webp"""
82,Foliride Gold,Tablets,181.50,10x1x10,"Ultima\Foliride-GOLD 10x1x10 Tablets.webp"""
83,Foliride,Tablets,48.82,10x1x30,"Ultima\Foliride 10x1x30 Tablets.webp"""
84,Gabavent NT 400,Tablets,321.85,20x10,"Ultima\Gabavent-NT 400 20x10 Tablets.webp"""
85,Gabavent-100,Tablets,65.70,10x10,"Ultima\Gabavent-100 10x10 Tablets.webp"""
86,Gabavent-M 100,Tablets,96.42,10x10,"Ultima\Gabavent-M 100 10x10 Tablets.webp"""
87,Gabavent-M 300,Tablets,174.69,10x1x10,"Ultima\Gabavent-M 300 10x1x10 Tablets.webp"""
88,Gabavent-NT 100,Tablets,127.87,10x15,"Ultima\Gabavent-Nt 100 10x15 Tablets.webp"""
89,Gabavent-NT 300,Tablets,164.48,10x1x10,"Ultima\Gabavent-NT 300 10x1x10 Tablets.webp"""
90,Galvent-50,Tablets,262.04,10x15,"Ultima\Galvent-50 10x15 Tablets.webp"""
91,Galvent-M 1000,Tablets,286.90,10x15,"Ultima\Galvent-M 1000 10x15 Tablets.webp"""
92,Galvent-M 500,Tablets,274.51,10x15,"Ultima\Galvent-M 500 10x15 Tablets.webp"""
93,Histarex-10,Tablets,37.40,20x15,"Ultima\Histarex-10 20x15 Tablets.webp"""
94,Histarex-25,Tablets,73.61,20x15,"Ultima\Histarex-25 20x15 Tablets.webp"""
95,Histigra-120,Tablets,155.97,10x1x10,"Ultima\Histigra-120 10x1x10 Tablets.webp"""
96,Histigra-180,Tablets,199.65,10x1x10,"Ultima\Histigra-180 10x1x10 Tablets.webp"""
97,Histigra-M,Tablets,147.46,10x1x10,"Ultima\Histigra-M 10x1x10 Tablets.webp"""
98,Ibuvent-Plus,Tablets,30.90,20x10,"Ultima\Ibuvent-Plus 20x10 Tablets.webp"""
100,Ketojet-200,Tablets,192.84,10x1x10,"Ultima\KETOJET-200 1x10 Tablet.webp"""
101,Ketoride-dt,Tablets,107.30,20x15,"Ultima\Ketoride-Dt 20x15 Tablets.webp"""
102,Knee Guard,Tablets,187.17,10x10,"Ultima\Knee Guard 10x10 Tablets.webp"""
103,Lansoup-15 Junior,Tablets,70.31,10x10,"Ultima\Lansoup-JUNIOR 15 10x10 Tablets.webp"""
104,Laxivent,Tablets,68.00,4x5x10,"Ultima\Laxivent 100gm Powder.webp"""
105,Levotramine-10,Tablets,74.86,20x10,"Ultima\Levotramine-10 20x10 Tablets.webp"""
106,Levotramine-5,Tablets,56.14,20x10,"Ultima\Levotramine-5 20x10 Tablets.webp"""
107,Linaglys-5,Tablets,124.70,10x10,"Ultima\Linaglys-5 10x10 Tablets.webp"""
108,Linaglys-m 2.5/500,Tablets,123.75,10x10,"Ultima\Linaglys-M 2-5-500 10x10 Tablets.webp"""
109,Lipivent-10,Tablets,53.44,10x10,"Ultima\Lipivent-10 10x10 Tablets.webp"""
110,Lipivent-20,Tablets,135.00,10x10,"Ultima\Lipivent-20 10x10 Tablets.webp"""
111,Lipivent-40,Tablets,207.58,10x10,"Ultima\Lipivent-40 10x10 Tablets.webp"""
112,Lipivent-f 10,Tablets,144.06,10x1x10,"Ultima\Lipivent-F 10x1x10 Tablets.webp"""
113,Livominta,Tablets,85.00,10x10,"Ultima\Livominta 10x10 Tablets.webp"""
114,Loxaquin-250,Tablets,51.76,10x1x10,"Ultima\Loxaquin-250 10x1x10 Tablets.webp"""
115,Loxaquin-500,Tablets,96.70,10x1x10,"Ultima\Loxaquin-500 10x1x10 Tablets.webp"""
116,Loxaquin-oz,Tablets,111.16,10x1x10,"Ultima\Loxaquin-Oz 10x1x10 Tablets.webp"""
117,Lumiart,Tablets,164.25,10x1x6,"Ultima\Lumiart 10x1x6 Tablets.webp"""
118,Losaride-H,Tablets,74.86,20x10,"Ultima\Losaride-H 20x10 Tablets.webp"""
118,Meftadol-p Forte,Tablets,60.11,20x10,"Ultima\Meftadol-P Forte 20x10 Tablets.webp"""
119,Meftadol-spas Ds,Tablets,60.11,20x10,"Ultima\Meftadol-Spas DS 20x10 Tablets.webp"""
120,Meftadol-spas,Tablets,56.14,30x10,"Ultima\Meftadol-Spas 30x10 Tablets.webp"""
121,Metaxadol-d,Tablets,185.62,10x10,"Ultima\Metaxadol-D 10x10 Tablets.webp"""
122,Methocort-16,Tablets,125.77,20x10,"Ultima\Methocort-16 20x10 Tablets.webp"""
123,Methocort-4,Tablets,56.14,20x10,"Ultima\Methocort-4 20x10 Tablets.webp"""
124,Methocort-8,Tablets,71.90,20x10,"Ultima\Methocort-8 20x10 Tablets.webp"""
125,Metovent-25 Xl,Tablets,45.67,20x10,"Ultima\Metovent 25XL 20x10 Tablets.webp"""
126,Metovent-50 Xl,Tablets,62.79,20x10,"Ultima\Metovent 50XL 20x10 Tablets.webp"""
127,Migravent,Tablets,132.00,20x10,"Ultima\Migravent 20x10 Tablets.webp"""
128,Montiride-ab,Tablets,243.75,10x10,"Ultima\Montiride-Ab 10x10 Tablets.webp"""
129,Montiride-la,Tablets,198.50,10x1x10,"Ultima\Montiride-La 10x1x10 Tablets.webp"""
130,Montiride-lc,Tablets,174.69,20x10,"Ultima\Montirided-LC 20x10 Tablets.webp"""
132,Moxilet-400,Tablets,138.60,10x1x5,"Ultima\Moxilet 400 10x1x5 Tablets.webp"""
133,Mucoxit-ab,Tablets,204.18,10x10,"Ultima\Mucoxit-Ab 10x10 Tablets.webp"""
134,Mylabion-d3 Forte,Tablets,198.50,10x1x10,"Ultima\Mylabion D3 Forte 1x10 Tablets.webp"""
135,Mylabion-lc,Tablets,181.50,10x1x10,"Ultima\Mylabion LC 10x1x10 Tablets.webp"""
136,Napromax 250,Tablets,108.28,10x15,"Ultima\Napromax 250 10x15 Tablets.webp"""
137,Napromax 500,Tablets,97.55,10x2x10,"Ultima\Napromax 500 10x2x10 Tablets.webp"""
138,Napromax-d,Tablets,174.60,10x10,"Ultima\Napromax-D 10x10 Tablets.webp"""
139,Nausinate,Tablets,190.78,10x1x30,"Ultima\Nausinate 10x1x30 Tablets.webp"""
140,Nausinate-plus,Tablets,238.21,10x1x30,"Ultima\Nausinate-Plus 10x1x30 Tablets.webp"""
141,New Montiride-fxa,Tablets,226.30,10x1x10,"Ultima\NEW Montiride FXA Tablets 10X1X10.webp"""
142,Nimuvent Cold,Tablets,67.00,25x2x10,"Ultima\Nimuvent-COLD 25x2x10 Tablets.webp"""
143,Nimuvent-md,Tablets,43.66,30x10,"Ultima\Nimuvent-Md 30x10 Tablets.webp"""
144,Oftivent-200,Tablets,96.40,20x10,"Ultima\Oftivent-200 20x10 Tablets.webp"""
145,Oftivent-oz,Tablets,131.00,20x10,"Ultima\Oftivent-Oz 20x10 Tablets.webp"""
146,Ondilium MD 8,Tablets,97.44,20x10,"Ultima\Ondilium-MD 8 20x10 Tablets.webp"""
147,Ondilium-MD,Tablets,55.23,20x10,"Ultima\Ondilium-Md 20x10 Tablets.webp"""
148,Oravent,Tablets,65.87,20x10,"Ultima\Oravent 15gm Cream.webp"""
149,Pantovent-40,Tablets,126.70,20x10,"Ultima\Pantovent-40 20x10 Tablets.webp"""
150,Pantovent-D,Tablets,138.80,20x10,"Ultima\Pantovent-40 20x10 Tablets.webp"""
151,Phylobron 200sr,Tablets,226.87,20x10,"Ultima\Phylobron 200Sr 20x10 Tablets.webp"""
152,Pregavent-m 1500,Tablets,274.51,10x1x10,"Ultima\Pregavent-M 1500 10x1x10 Tablets.webp"""
153,Pregavent-ET,Tablets,243.75,20x10,"Ultima\Pregavent-Et 20x10 Tablets.webp"""
154,Pregavent-NT,Tablets,205.88,10x1x10,"Ultima\Pregavent-Nt 10x1x10 Tablets.webp"""
155,Pregavent-NTM,Tablets,224.60,10x1x10,"Ultima\Pregavent-Ntm 10x1x10 Tablets.webp"""
156,Primovent-CR,Tablets,191.81,10x10,"Ultima\Primovent-Cr 10x10 Tablets.webp"""
157,Primovent-N,Tablets,57.96,4x5x10,"Ultima\Primovent-N 4x5x10 Tablets.webp"""
158,Proditil-Plus,Tablets,283.50,5x1x10,"Ultima\Proditil-Plus 5x1x10 Tablets.webp"""
159,Proditil-100,Tablets,124.70,10x1x10,"Ultima\Proditil-100 30ml Tablets.webp"""
160,Proditil-200,Tablets,243.30,10x1x10,"Ultima\Proditil-200 10x1x10 Tablets.webp"""
161,Proditil-CV 325,Tablets,284.40,10x1x6,"Ultima\Proditil-CV 325 10x1x6 Tablets.webp"""
162,Qtvent-25,Tablets,58.98,5x2x10,"Ultima\Qtvent-25 5x2x10 Tablets.webp"""
163,Qtvent-50,Tablets,81.67,5x2x10,"Ultima\Qtvent-50 5x2x10 Tablets.webp"""
164,Ranilium Spas,Tablets,54.45,20x10,"Ultima\Ranilium-Spas 20x10 Tablets.webp"""
165,Ranilium-D,Tablets,43.60,20x10,"Ultima\Ranilium-D 20x10 Tablets.webp"""
166,Ranilium-O,Tablets,47.41,20x10,"Ultima\Ranilium-O 20x10 Tablets.webp"""
167,Razodrot-40,Tablets,113.43,10x15,"Ultima\Razodrot-40 10x15 Tablets.webp"""
168,Razodrot-DS,Tablets,215.50,10x15,"Ultima\Razodrot-DS 80mg 10x15 Tablets.webp"""
169,Razodrot-M,Tablets,93.58,20x10,"Ultima\Razodrot-M 20x10 Tablets.webp"""
170,Razospas-TX,Tablets,260.80,10x10,"Ultima\Razospas-TX 10x10 Tablets.webp"""
171,Razotran-500,Tablets,199.29,10x10,"Ultima\Razotran 500mg 10x10 Tablets.webp"""
172,Rozucard-10,Tablets,151.60,3x10,"Ultima\Rozucard-10 3x10 Tablets.webp"""
173,Rozucard-20,Tablets,272.25,3x10,"Ultima\Rozucard-20 3x10 Tablets.webp"""
174,Rozucard-F,Tablets,179.23,10x1x10,"Ultima\Rozucard-F 10x1x10 Tablets.webp"""
175,RTQS-200,Tablets,102.53,10x15,"Ultima\Rtqs-200 10x15 Tablets.webp"""
176,RTQS-Tofa,Tablets,438.20,20x10,"Ultima\RTQS-TOFA 20x10 Tablets.webp"""
177,Serravent D,Tablets,96.41,6x5x10,"Ultima\Serravent-D 6x5x10 Tablets.webp"""
178,Sinovent-Forte,Tablets,63.60,25x2x10,"Ultima\Sinovent Forte 25x2x10 Tablets.webp"""
179,Sinovent,Tablets,60.90,30x10,"Ultima\Sinovent 30x10 Tablets.webp"""
180,Sitaglys-D,Tablets,273.28,10x1x10,"Ultima\Sitaglys - D 10x1x10 Tablets.webp"""
181,Sitaglys 100,Tablets,144.35,4x7,"Ultima\Sitaglys-100mg 4x7 Tablets.webp"""
182,Sitaglys 50,Tablets,136.10,4x7,"Ultima\Sitaglys-50mg 4x7 Tablets.webp"""
183,Sitaglys DM,Tablets,225.00,10x10,"Ultima\Sitaglys-DM 100-10-1000 10x10 Tablets.webp"""
184,Sitaglys DM,Tablets,215.62,10x10,"Ultima\Sitaglys-DM 100-10-500 10x10 Tablets.webp"""
185,Sitaglys M 50/1000,Tablets,272.25,2x15,"Ultima\Sitaglys-M-50-1000 2x15 Tablets.webp"""
186,Sitaglys M 50/500,Tablets,249.56,2x15,"Ultima\Sitaglys-M-50-500 2x15 Tablets.webp"""
187,Telirol B-2.5,Tablets,128.00,10x10,"Ultima\Telirol-B 2.5 10x10 Tablets.webp"""
188,Telirol B-5,Tablets,149.00,10x10,"Ultima\Telirol-B 5 10x10 Tablets.webp"""
189,Telirol CT 40/12.5,Tablets,153.14,10x15,"Ultima\Telirol-CT 40-12_5 10x15 Tablets.webp"""
190,Telirol Trio 40,Tablets,174.69,10x15,"Ultima\Telirol Trio 40 10x15 Tablets.webp"""
191,Telirol-40,Tablets,72.66,20x10,"Ultima\Telirol-40 20x10 Tablets.webp"""
192,Telirol-AM,Tablets,89.84,20x10,"Ultima\Telirol AM Tab  20x10.webp"""
193,Telirol-H,Tablets,136.12,10x15,"Ultima\Telirol-H 10x15 Tablets.webp"""
194,Tenlivent-20,Tablets,119.17,20x10,"Ultima\Tenlivent-20 20x10 Tablets.webp"""
195,Tenlivent-M 1000,Tablets,141.79,10x10,"Ultima\Tenlivent-M 1000 10x10 Tablets.webp"""
196,Tenlivent-M 500,Tablets,143.49,10x10,"Ultima\Tenlivent-M 500 10x10 Tablets.webp"""
197,Terbiride-250,Tablets,184.50,10x1x7,"Ultima\Terbiride 250gm 10x1x7 Tablets.webp"""
198,Terbiride-500,Tablets,249.56,10x1x7,"Ultima\Terbiride 500mg 10x1x7 Tablets.webp"""
199,Tizamax-MR,Tablets,165.00,10x2x10,"Ultima\Tizamax-MR 10x2x10 Tablets.webp"""
200,Torigesic Plus,Tablets,90.75,20x10,"Ultima\Torigesic-Plus 20x10 Tablets.webp"""
201,Torigesic-120,Tablets,147.23,20x10,"Ultima\Torigesic 120mg 20x10 Tablets.webp"""
202,Torigesic-60,Tablets,92.33,20x10,"Ultima\Torigesic 60mg 20x10 Tablets.webp"""
203,Torigesic-90,Tablets,107.76,20x10,"Ultima\Torigesic 90mg 20x10 Tablets.webp"""
204,Torigesic-TH4,Tablets,243.31,10x1x10,"Ultima\Torigesic TH4 10x1x10 Tablets.webp"""
205,Torigesic-TH8,Tablets,391.87,10x1x10,"Ultima\Torigesic TH8 10x1x10 Tablets.webp"""
206,Torsevent-10,Tablets,79.41,4x5x10,"Ultima\Torsevent 10mg 4x5x10 Tablets.webp"""
207,Torsevent-20,Tablets,136.10,4x5x10,"Ultima\Torsevent 20mg 4x5x10 Tablets.webp"""
208,Torsevent-Plus,Tablets,146.40,10x15,"Ultima\Torsevent-Plus 10x15 Tablets.webp"""
209,Trizacet,Tablets,30.24,40x15,"Ultima\Trizacet 40x15 Tablets.webp"""
210,Trizacet-Cold RF,Tablets,54.37,25x10,"Ultima\Trizacet Cold New pack 25x10 Tablets.webp"""
211,Tusston Super-NF,Tablets,67.03,20x10,"Ultima\Tusston Super-NF 20x10 Tablets.webp"""
212,Udivent-150,Tablets,227.40,10x1x10,"Ultima\Udivent-150 10x1x10 Tablets.webp"""
213,Udivent-300,Tablets,435.60,10x1x10,"Ultima\Udivent-300 Tablet.webp"""
214,Utispas,Tablets,286.87,10x15,"Ultima\Utispas 10x15 Tablets.webp"""
215,Ventocal-500,Tablets,89.84,20x15,"Ultima\Ventocal-500 20x15 Tablets.webp"""
216,Ventocal-XT,Tablets,278.43,20x15,"Ultima\Ventocal XT 20x15 Tablets.webp"""
217,Ventocee-Z,Tablets,73.70,20x10,"Ultima\Ventocee-Z 20x10 Tablets.webp"""
218,Ventokast LC Junior,Tablets,81.10,10x1x10,"Ultima\Ventokast-LC Junior 10x1x10 Tablets.webp"""
219,Ventokast-LC,Tablets,174.69,20x1x10,"Ultima\Ventokast LC 20x1x10 Tablets.webp"""
220,Ventophagus-20,Tablets,168.00,10x10,"Ultima\Ventophagus 20 10x10 Tablets.webp"""
221,Ventophylin-400,Tablets,93.00,10x1x10,"Ultima\Ventophylin-400 10x1x10 Tablets.webp"""
222,Ventophyline-S,Tablets,90.75,10x1x10,"Ultima\Ventophylin-S 10x1x10 Tablets.webp"""
223,Ventophylin-M,Tablets,181.75,10x1x10,"Ultima\Ventophylin-M 10x1x10 Tablets.webp"""
224,Ventophylin-XL,Tablets,96.40,10x1x10,"Ultima\Ventophylin XL 10x1x10 Tablets.webp"""
225,Ventoran-100 SR,Tablets,78.60,30x10,"Ultima\Ventoran SR  100mg Tablets.webp"""
226,Ventoran-A,Tablets,39.60,20x10,"Ultima\Ventoran-A 20x10 Tablets.webp"""
227,Ventoran-MR,Tablets,81.55,80x10,"Ultima\Ventoran-Mr 80x10 Tablets.webp"""
228,Ventoran-SP,Tablets,112.50,20x10,"Ultima\Ventoran-Sp 20x10 Tablets.webp"""
229,Venzolid-600,Tablets,383.56,10x1x10,"Ultima\Venzolid 600mg 10x1x10 Tablets.webp"""
230,Voglivent-MG1,Tablets,142.03,10x2x15,"Ultima\Voglivent-MG1 10x2x15 Tablets.webp"""
231,Voglivent-MG2,Tablets,238.20,10x2x15,"Ultima\Voglivent-MG2 10x2x15 Tablets.webp"""
232,Xiotil-250,Tablets,350.62,10x1x10,"Ultima\Xiotil 250mg 10x1x10 Tablets.webp"""
233,Xiotil-500,Tablets,553.00,10x1x10,"Ultima\Xiotil 500mg 10x1x10 Tablets.webp"""
234,Xiotil-CV 625,Tablets,510.40,10x1x6,"Ultima\Xiotil-CV 625mg 10x1x6 Tablets.webp"""
235,Yuvigra-LA,Tablets,272.25,20x1x4,"Ultima\Yuvigra-La 20x1x4 Tablets.webp"""
236,Yuvigra-LA Forte,Tablets,330.00,24x1x4,"Ultima\Yuvigra-LA Forte 24x1x4 Tablets.webp"""
237,Zithroset-250,Tablets,75.28,20x1x6,"Ultima\Zithroset - 250mg 10x1x6 Tablets.webp"""
238,Zithroset-3 Kit,Tablets,138.75,1x4,"Ultima\Zithroset - 3 Kit Tablets.webp"""
239,Zithroset-500,Tablets,76.00,20x1x3,"Ultima\Zithroset -500mg 10x1x3 Tablets.webp"""
240,Zyfix 200-IB,Tablets,167.88,10x10,"Ultima\Zyfix-200LB 10x10 Tablets.webp"""
241,Acnevent,Softgel,235.12,10X1X10,"Ultima\Acnevent 10x1x10 Softgel Capsules.webp"""
242,Actigrain-P,Capsules,107.30,10x10,"Ultima\Actigrain-P 10x10 Capsules.webp"""
243,Arshcure,Capsules,204.00,1x30,"Ultima\Arshcure 1x30 Capsules.webp"""
244,Becominta 4G,Softgel,226.00,3x10,"Ultima\Becominta 4g 3x10 Softgel Capsules.webp"""
245,Calcivent K2 Forte,Softgel,176.90,10x1x10,"Ultima\Calcivent K2 Forte 10x1x10 Softgel Capsules.webp"""
246,Calcivent R/Y,Softgel,213.26,5x2x15,"Ultima\Calcivent 5x2x15 Softgel Capsules (YR).webp"""
247,Calcivent-D3 Max,Softgel,402.18,3X10,"Ultima\Calcivent-d3 Max 10x1x15 Softgel Capsules.webp"""
248,Clindarol-300,Capsules,305.00,10x1x10,"Ultima\Clindarol-300 10x1x10 Capsules.webp"""
249,Coligut-L,Capsules,141.90,10x10,"Ultima\Coligut-L Capsule 10x1x10.webp"""
250,Dilustone,Capsules,216.30,1x30,"Ultima\Dilustone 30 N Capsules.webp"""
251,Dolosaid Rab SR,Capsules,174.60,10x1x10,"Ultima\Dolosaid-RAB SR 10x1x10 Capsules.webp"""
252,Donacortil-TM,Capsules,705.30,10x1x10,"Ultima\Donacortil-Tm 10x1x10 Capsules.webp"""
253,Doxivent-LB,Capsules,136.00,20X10,"Ultima\Doxivent-Lb 20x10 Capsules.webp"""
254,Esovent-IT,Capsules,173.67,10X10,"Ultima\Esovent IT 10x10 Tablets.webp"""
255,Esovent-DSR,Capsules,172.15,10x1x10,"Ultima\Esovent DSR Capsules 10x1x10.webp"""
256,Esovent-LSR,Capsules,237.00,10x1x10,"Ultima\Esovent-Lsr 10x1x10 Capsules.webp"""
257,Ferivent-Z,Capsules,134.75,10X2X15,"Ultima\Ferivent-Z 10x2x15 Capsules.webp"""
